Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
20,Fri,12/6/2019,,Coventry City,,Ipswich Town,,St Andrew's Trillion Trophy Stadium,,,
20,Fri,12/6/2019,,Gillingham,,Sunderland,,MEMS Priestfield Stadium,,,
20,Fri,12/6/2019,,Bolton,,AFC Wimbledon,,Macron Stadium,,,
20,Fri,12/6/2019,,Tranmere Rovers,,Acc'ton Stanley,,Prenton Park,,,
20,Fri,12/6/2019,,Portsmouth,,P'borough Utd,,Fratton Park,,,
20,Fri,12/6/2019,,Burton Albion,,Lincoln City,,Pirelli Stadium,,,
,,,,,,,,,,,
21,Fri,12/13/2019,,Rochdale,,Bury,,Crown Oil Arena,,,
21,Fri,12/13/2019,,Southend United,,Rotherham Utd,,Roots Hall Stadium,,,
21,Fri,12/13/2019,,MK Dons,,Oxford United,,Stadium mk,,,
21,Fri,12/13/2019,,Sunderland,,Blackpool,,Stadium of Light,,,
21,Fri,12/13/2019,,Ipswich Town,,Bristol Rovers,,Portman Road Stadium,,,
21,Fri,12/13/2019,,Fleetwood Town,,Gillingham,,Highbury Stadium,,,
21,Fri,12/13/2019,,P'borough Utd,,Bolton,,ABAX Stadium,,,
21,Fri,12/13/2019,,Lincoln City,,Tranmere Rovers,,Sincil Bank Stadium,,,
21,Fri,12/13/2019,,AFC Wimbledon,,Doncaster,,The Energy Check County Ground,,,
21,Fri,12/13/2019,,Wycombe,,Burton Albion,,Adams Park,,,
21,Fri,12/13/2019,,Acc'ton Stanley,,Portsmouth,,Wham Stadium,,,
21,Fri,12/13/2019,,Shrewsbury,,Coventry City,,Montgomery Waters Meadow,,,
,,,,,,,,,,,
22,Fri,12/20/2019,,Doncaster,,Acc'ton Stanley,,Keepmoat Stadium,,,
22,Fri,12/20/2019,,Coventry City,,Lincoln City,,St Andrew's Trillion Trophy Stadium,,,
22,Fri,12/20/2019,,Oxford United,,Wycombe,,The Kassam Stadium,,,
22,Fri,12/20/2019,,Tranmere Rovers,,AFC Wimbledon,,Prenton Park,,,
22,Fri,12/20/2019,,Burton Albion,,Rochdale,,Pirelli Stadium,,,
22,Fri,12/20/2019,,Rotherham Utd,,Fleetwood Town,,Roots Hall Stadium,,,
22,Fri,12/20/2019,,Bolton,,Southend United,,Macron Stadium,,,
22,Fri,12/20/2019,,Bury,,Sunderland,,Gigg Lane,,,
22,Fri,12/20/2019,,Gillingham,,MK Dons,,MEMS Priestfield Stadium,,,
22,Fri,12/20/2019,,Portsmouth,,Ipswich Town,,Fratton Park,,,
22,Fri,12/20/2019,,Blackpool,,Shrewsbury,,Bloomfield Road,,,
22,Fri,12/20/2019,,Bristol Rovers,,P'borough Utd,,Memorial Stadium,,,
,,,,,,,,,,,
23,Wed,12/25/2019,,Bristol Rovers,,AFC Wimbledon,,Memorial Stadium,,,
23,Wed,12/25/2019,,P'borough Utd,,Doncaster,,ABAX Stadium,,,
23,Wed,12/25/2019,,Coventry City,,Bury,,St Andrew's Trillion Trophy Stadium,,,
23,Wed,12/25/2019,,Ipswich Town,,Gillingham,,Portman Road Stadium,,,
23,Wed,12/25/2019,,Oxford United,,Lincoln City,,The Kassam Stadium,,,
23,Wed,12/25/2019,,Blackpool,,Acc'ton Stanley,,Bloomfield Road,,,
23,Wed,12/25/2019,,Portsmouth,,Wycombe,,Fratton Park,,,
23,Wed,12/25/2019,,Shrewsbury,,Rotherham Utd,,Montgomery Waters Meadow,,,
23,Wed,12/25/2019,,Southend United,,MK Dons,,Roots Hall Stadium,,,
23,Wed,12/25/2019,,Burton Albion,,Tranmere Rovers,,Pirelli Stadium,,,
23,Wed,12/25/2019,,Rochdale,,Fleetwood Town,,Crown Oil Arena,,,
23,Wed,12/25/2019,,Sunderland,,Bolton,,Stadium of Light,,,
,,,,,,,,,,,
24,Sat,12/28/2019,,Rotherham Utd,,P'borough Utd,,Roots Hall Stadium,,,
24,Sat,12/28/2019,,Gillingham,,Rochdale,,MEMS Priestfield Stadium,,,
